76, 5, 0.0144, 0.0055, 0.0071, 24.9, 2017_09_12_15_36_07
77, 5, 0.0152, 0.0060, 0.0068, 23.6, 2017_09_12_15_43_48
78, 10, 0.0125, 0.0047, 0.0076, 29.3, 2017_09_12_16_21_54
79, 10, 0.0125, 0.0047, 0.0076, 29.4, 2017_09_12_16_32_29
80, 10, 0.0128, 0.0048, 0.0078, 29.9, 2017_09_12_16_43_08
81, 5, 0.0133, 0.0048, 0.0079, 29.8, 2017_09_13_09_36_35
82, 5, 0.2650, 0.2160, 0.2360, 20.3, 2017_09_13_10_34_35
83, 5, 0.2680, 0.2190, 0.2380, 20.6, 2017_09_13_10_40_49
84, 5, 0.0034, 0.0026, 0.0028, 0, 0
85, 5, 0.2320, 0.1770, 0.2020, 27.8, 2017_09_13_11_21_05
86, 5, 0.2302, 0.1755, 0.2010, 28, 2017_09_13_11_28_00
87, 5, 0.2301, 0.1761, 0.2019, 27.8, 2017_09_13_11_34_51
88, 5, 0.2323, 0.1768, 0.2031, 27.8, 2017_09_13_11_41_17
89, 5, 0.2294, 0.1751, 0.2013, 27.8, 2017_09_13_11_47_38
90, 5, 0.2322, 0.1768, 0.2038, 28.0, 2017_09_13_11_53_35
91, 5, 0.2331, 0.1776, 0.2042, 28.0, 2017_09_13_11_59_47
92, 5, 0.2297, 0.1740, 0.2006, 27.4, 2017_09_13_12_05_24
93, 5, 0.2354, 0.1784, 0.2052, 28.6, 2017_09_13_12_11_16
94, 5, 0.1854, 0.1682, 0.1983, 21.40, 2017_09_13_14_04_34
95, 5, 0.1876, 0.1387, 0.1643, 20.84, 2017_09_13_14_10_24
96, 5, 0.2301, 0.1712, 0.2021, 26.80, 2017_09_13_14_22_48
97, 5, 0.2256, 0.1702, 0.1989, 26.50, 2017_09_13_14_28_28
98, 5, 0.2257, 0.1727, 0.1983, 26.50, 2017_09_13_14_34_03
99, 5, 0.2238, 0.1729, 0.1965, 26.20, 2017_09_13_14_39_36
100, 5, 0.2210, 0.1711, 0.1941, 26.18, 2017_09_13_14_45_11
101, 5, 0.2226, 0.1727, 0.1959, 26.40, 2017_09_13_14_50_56
102, 5, 0.2235, 0.1731, 0.1970, 26.30, 2017_09_13_14_56_28
103, 5, 0.2230, 0.1725, 0.1968, 26.30, 2017_09_13_15_02_17
104, 5, 0.2229, 0.1718, 0.1963, 26.29, 2017_09_13_15_07_47
105, 5, 0.2210, 0.1709, 0.1941, 25.90, 2017_09_13_15_13_22
106, 5, 0.2282, 0.1753, 0.1993, 27.24, 2017_09_13_15_19_32
107, 0.5, 0.2303, 0.1770, 0.2007, 27.00, 0
108, 0.5, 0.0000, 0.0000, 0.0000, 27.00, 0
109, 5, 0.2629, 0.1976, 0.2321, 30.17, 2017_09_14_10_09_33
110, 5, 0.2139, 0.1585, 0.1845, 25.10, 2017_09_14_10_24_44
111, 5, 0.2340, 0.1757, 0.2053, 26.06, 2017_09_14_11_34_39
112, 5, 0.2343, 0.1750, 0.2050, 25.80, 2017_09_14_11_35_34
113, 5, 0.2165, 0.1626, 0.1904, 24.42, 2017_09_14_11_39_36
114, 5, 0.2294, 0.1718, 0.2013, 25.35, 2017_09_14_11_47_03
115, 5, 0.2297, 0.1712, 0.2008, 25.28, 2017_09_14_11_52_58
116, 5, 0.2248, 0.1674, 0.1964, 24.49, 2017_09_14_11_59_16
117, 5, 0.2265, 0.1688, 0.1982, 24.83, 2017_09_14_12_04_53
118, 5, 0.2252, 0.1678, 0.1970, 24.72, 2017_09_14_12_10_23
119, 5, 0.2247, 0.1679, 0.1966, 24.62, 2017_09_14_12_15_57
120, 5, 0.2247, 0.1674, 0.1966, 24.57, 2017_09_14_12_21_31
121, 5, 0.2252, 0.1680, 0.1967, 24.66, 2017_09_14_12_27_08
122, 5, 0.2277, 0.1700, 0.1991, 24.47, 2017_09_14_12_32_44
123, 5, 0.2274, 0.1698, 0.1991, 24.85, 2017_09_14_12_38_22
124, 5, 0.2262, 0.1689, 0.1983, 24.88, 2017_09_14_12_44_21
125, 5, 0.2343, 0.1731, 0.2033, 26.08, 2017_09_14_12_49_45
126, 5, 0.0037, 0.0028, 0.0031, 0, bkg_09_14_12_56
127, 5, 0.2288, 0.1683, 0.1996, 25.77, 2017_09_14_14_09_21
128, 5, 0.2287, 0.1676, 0.2002, 25.8, 2017_09_14_14_15_22
129, 5, 0.2252, 0.1663, 0.1976, 25.46, 2017_09_14_14_21_01
130, 5, 0.2230, 0.1649, 0.1958, 25.22, 2017_09_14_14_26_56
131, 5, 0.2230, 0.1641, 0.1955, 25.08, 2017_09_14_14_32_35
132, 5, 0.2209, 0.1629, 0.1938, 24.88, 2017_09_14_14_38_10
